Nama;Subsektor
Badan Informasi Geospasial;Pemerintah Pusat
Kementerian Pendidikan Dan Kebudayaan Ristek Dikti;Pemerintah Pusat
Komisi Pemberantasan Korupsi;Pemerintah Pusat
Pusat Pelaporan Dan Analisis Transaksi Keuangan;Pemerintah Pusat
Kementerian Kesehatan;Pemerintah Pusat
Kementerian Luar Negeri;Pemerintah Pusat
Kementerian Pertanian;Pemerintah Pusat
Kementerian Dalam Negeri;Pemerintah Pusat
Kementerian Keuangan;Pemerintah Pusat
Kementerian Perdagangan;Pemerintah Pusat
Badan Pengawas Obat Dan Makanan;Pemerintah Pusat
Badan Pengawasan Keuangan Dan Pembangunan;Pemerintah Pusat
Kementerian Energi Dan Sumber Daya Mineral;Pemerintah Pusat
Kementerian Kelautan Dan Perikanan;Pemerintah Pusat
Kementerian Koordinator Bidang Politik Hukum Dan Keamanan;Pemerintah Pusat
Kementerian Pariwisata Dan Ekonomi Kreatif;Pemerintah Pusat
Kementerian Perindustrian;Pemerintah Pusat
Komisi Pengawas Persaingan Usaha;Pemerintah Pusat
Sekretariat Kabinet;Pemerintah Pusat
Dewan Perwakilan Rakyat;Pemerintah Pusat
Kejaksaan Agung;Pemerintah Pusat
Dewan Pers;Pemerintah Pusat
Lembaga Sensor Film;Pemerintah Pusat
Lembaga Ilmu Pengetahuan Indonesia;Pemerintah Pusat
Komisi Kejaksaan;Pemerintah Pusat
Mahkamah Konstitusi;Pemerintah Pusat
Badan Pembinaan Ideologi Pancasila;Pemerintah Pusat
Lembaga Perlindungan Saksi Dan Korban;Pemerintah Pusat
Badan Amil Zakat Nasional;Pemerintah Pusat
Kementerian Sosial;Pemerintah Pusat
Badan Nasional Penanggulangan Terorisme;Pemerintah Pusat
Majelis Permusyawaratan Rakyat;Pemerintah Pusat
Lembaga Ketahanan Nasional Ri;Pemerintah Pusat
Komisi Yudisial;Pemerintah Pusat
Ombudsman Republik Indonesia;Pemerintah Pusat
Dewan Ketahanan Nasional;Pemerintah Pusat
Badan Tenaga Nuklir Nasional;Pemerintah Pusat
Konsil Kedokteran Indonesia;Pemerintah Pusat
Televisi Republik Indonesia;Pemerintah Pusat
Komisi Aparatur Sipil Negara;Pemerintah Pusat
Komisi Pemilihan Umum;Pemerintah Pusat
Mahkamah Agung Ri;Pemerintah Pusat
Badan Perencanaan Pembangunan Nasional;Pemerintah Pusat
Dewan Jaminan Sosial Nasional;Pemerintah Pusat
Radio Republik Indonesia;Pemerintah Pusat
Badan Pengawas Pemilihan Umum;Pemerintah Pusat
Kantor Staf Presiden;Pemerintah Pusat
Badan Meteorologi Klimatologi Dan Geofisika;Pemerintah Pusat
Kementerian Badan Usaha Milik Negara;Pemerintah Pusat
Lembaga Kebijakan Pengadaan Barang Jasa Pemerintah;Pemerintah Pusat
Badan Narkotika Nasional;Pemerintah Pusat
Komisi Penyiaran Indonesia;Pemerintah Pusat
Badan Intelijen Negara;Pemerintah Pusat
Komisi Informasi Pusat;Pemerintah Pusat
Kementerian Pemuda Dan Olahraga;Pemerintah Pusat
Dewan Perwakilan Daerah;Pemerintah Pusat
Badan Perlindungan Pekerja Migran Indonesia;Pemerintah Pusat
